"","msk_id","mean_pH","pH"
"1","MSK.1.13",6.67,6.67
"2","MSK.1.14",6.43,6.43
"3","MSK.1.16",6.52,6.52
"4","MSK.1.17",6.59,6.59
"5","MSK.1.18",6.55,6.55
"6","MSK.1.19",5.96,5.96
"7","MSK.1.20",5.92,5.92
"8","MSK.1.21",5.92,5.92
"9","MSK.1.24",5.86,5.86
"10","MSK.1.25",5.87,5.87
"11","MSK.1.26",6.71,6.71
"12","MSK.1.7",6.62,6.62
"13","MSK.1.9",7.06,7.06
"14","MSK.10.14",6.41,6.41
"15","MSK.10.16",6.22,6.22
"16","MSK.10.18",6.58,6.58
"17","MSK.10.20",6.6,6.6
"18","MSK.10.27",6.63,6.63
"19","MSK.10.29",5.37,5.37
"20","MSK.10.31",6.49,6.49
"21","MSK.10.4",6.14,6.14
"22","MSK.10.6",5.19,5.19
"23","MSK.10.7",6.55,6.55
"24","MSK.11.14",6.17,6.17
"25","MSK.11.19",6.45,6.45
"26","MSK.11.2",6.37,6.37
"27","MSK.11.20",6.47,6.47
"28","MSK.11.23",6.49,6.49
"29","MSK.11.25",5.92,5.92
"30","MSK.11.27",6.59,6.59
"31","MSK.11.31",7.06,7.06
"32","MSK.11.4",6.42,6.42
"33","MSK.11.45",5.8,5.8
"34","MSK.11.47",6.64,6.64
"35","MSK.11.50",6.63,6.63
"36","MSK.11.53",6.15,6.15
"37","MSK.11.9",6.2,6.2
"38","MSK.13.12",5.82,5.82
"39","MSK.13.15",6.2,6.2
"40","MSK.13.17",6.69,6.69
"41","MSK.13.2",7,7
"42","MSK.13.24",5.47,5.47
"43","MSK.13.37",6.38,6.38
"44","MSK.13.38",5.42,5.42
"45","MSK.13.39",6.23,6.23
"46","MSK.13.40",5.47,5.47
"47","MSK.13.41",5.73,5.73
"48","MSK.13.43",6.27,6.27
"49","MSK.13.47",6.55,6.55
"50","MSK.13.48",6.43,6.43
"51","MSK.13.50",6.54,6.54
"52","MSK.13.53",6.34,6.34
"53","MSK.13.55",6.5,6.5
"54","MSK.13.59",6.55,6.55
"55","MSK.13.6",6.38,6.38
"56","MSK.14.13",6,6
"57","MSK.14.16",5.35,5.35
"58","MSK.14.17",6.62,6.62
"59","MSK.14.18",5.195,5.195
"60","MSK.14.2",5.23,5.23
"61","MSK.14.20",5.26,5.26
"62","MSK.14.21",6.24,6.24
"63","MSK.14.22",5.37,5.37
"64","MSK.14.23",6.56,6.56
"65","MSK.14.29",6.63,6.63
"66","MSK.14.31",6.32,6.32
"67","MSK.14.32",5.45,5.45
"68","MSK.14.33",6.33,6.33
"69","MSK.14.37",6.33,6.33
"70","MSK.14.4",6.59,6.59
"71","MSK.14.43",5.37,5.37
"72","MSK.14.46",5.35,5.35
"73","MSK.14.47",5.32,5.32
"74","MSK.14.49",6.39,6.39
"75","MSK.14.54",5.29,5.29
"76","MSK.14.57",6.69,6.69
"77","MSK.14.58",5.89,5.89
