msk_id,is_lachno,family,genus,species,pident
MSK.1.13,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] aldenense,99.857
MSK.1.17,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] aldenense,99.928
MSK.15.50,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] celerecrescens,93.996
MSK.2.26,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,99.078
MSK.2.59,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,99.209
MSK.2.63,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,99.078
MSK.2.73,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,100
MSK.2.78,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,99.074
MSK.2.90,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,99.096
MSK.2.94,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,98.985
MSK.2.98,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,98.985
MSK.2.80,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,98.985
MSK.1.16,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,99.918
MSK.1.26,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,100
MSK.5.24,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,98.76
MSK.1.9,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbosium,98.439
MSK.7.21,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbosium,98.439
MSK.1.7,1,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbosium,98.439
MSK.13.47,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,100
MSK.13.48,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.869
MSK.13.50,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,100
MSK.13.59,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.822
MSK.22.12,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.796
MSK.22.19,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.803
MSK.22.23,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.812
MSK.22.28,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.803
MSK.22.39,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.803
MSK.22.51,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.803
MSK.9.13,1,Lachnospiraceae,Eubacterium,[Eubacterium] rectale,99.899
